date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:04	0/0	---M--	200	added ('OK')	text/plain	date:Mon,%2021%20Sep%202020%2010:54:03%20GMT	http://innovationplans.com/robots.txt		(from )
12:54:09	38836/38836	---M--	200	added ('OK')	text/html	etag:%2297b4-5af8b3f1a488c%22	http://innovationplans.com/idesign/avo2/avo-dark/index5.html	innovationplans.com/idesign/avo2/avo-dark/index5.html	(from )
12:54:12	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2213e-5af8b41509bd1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/favicon.ico	innovationplans.com/idesign/avo2/avo-dark/img/favicon.ico	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:21	1194/1194	---M--	200	added ('OK')	text/css	etag:%224aa-5afc74b249d3c%22	http://innovationplans.com/idesign/avo2/avo-dark/css/plugins.css	innovationplans.com/idesign/avo2/avo-dark/css/plugins.css	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:22	1031/1031	---M--	200	added ('OK')	image/png	etag:%22407-5af8b41630ea1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/logo-light.png	innovationplans.com/idesign/avo2/avo-dark/img/logo-light.png	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:34	49159/49159	---M--	200	added ('OK')	text/html	etag:%22c007-5af8b3efe7760%22	http://innovationplans.com/idesign/avo2/avo-dark/index.html	innovationplans.com/idesign/avo2/avo-dark/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:38	36738/36738	---M--	200	added ('OK')	text/html	etag:%228f82-5af8b3f0c2b44%22	http://innovationplans.com/idesign/avo2/avo-dark/index3.html	innovationplans.com/idesign/avo2/avo-dark/index3.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:45	17691/17691	---M--	200	added ('OK')	text/html	etag:%22451b-5af8b3f31572f%22	http://innovationplans.com/idesign/avo2/avo-dark/showcase.html	innovationplans.com/idesign/avo2/avo-dark/showcase.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:48	37144/37144	---M--	200	added ('OK')	text/html	etag:%229118-5af8b3f052e6c%22	http://innovationplans.com/idesign/avo2/avo-dark/index2.html	innovationplans.com/idesign/avo2/avo-dark/index2.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:52	19261/19261	---M--	200	added ('OK')	text/html	etag:%224b3d-5af8b3f3cad5c%22	http://innovationplans.com/idesign/avo2/avo-dark/showcase3.html	innovationplans.com/idesign/avo2/avo-dark/showcase3.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:53	18271/18271	---M--	200	added ('OK')	text/html	etag:%22475f-5af8b3f3abd2c%22	http://innovationplans.com/idesign/avo2/avo-dark/showcase2.html	innovationplans.com/idesign/avo2/avo-dark/showcase2.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:55	43704/43704	---M--	200	added ('OK')	text/html	etag:%22aab8-5af8b3f139203%22	http://innovationplans.com/idesign/avo2/avo-dark/index4.html	innovationplans.com/idesign/avo2/avo-dark/index4.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:58	12447/12447	---M--	200	added ('OK')	text/html	etag:%22309f-5af8b3f4f7dbe%22	http://innovationplans.com/idesign/avo2/avo-dark/works.html	innovationplans.com/idesign/avo2/avo-dark/works.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:58	15185/15185	---M--	200	added ('OK')	text/html	etag:%223b51-5af8b3f46fa36%22	http://innovationplans.com/idesign/avo2/avo-dark/showcase4.html	innovationplans.com/idesign/avo2/avo-dark/showcase4.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:54:58	13210/13210	---M--	200	added ('OK')	text/html	etag:%22339a-5af8b3f51bf9d%22	http://innovationplans.com/idesign/avo2/avo-dark/works2.html	innovationplans.com/idesign/avo2/avo-dark/works2.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:04	15302/15302	---M--	200	added ('OK')	text/html	etag:%223bc6-5af8b3f5e6db8%22	http://innovationplans.com/idesign/avo2/avo-dark/works4.html	innovationplans.com/idesign/avo2/avo-dark/works4.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:05	34706/34706	---M--	200	added ('OK')	text/html	etag:%228792-5af8b3eebddfb%22	http://innovationplans.com/idesign/avo2/avo-dark/about.html	innovationplans.com/idesign/avo2/avo-dark/about.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:07	11959/11959	---M--	200	added ('OK')	text/html	etag:%222eb7-5af8b3eef06ab%22	http://innovationplans.com/idesign/avo2/avo-dark/contact.html	innovationplans.com/idesign/avo2/avo-dark/contact.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:09	130448/130448	---M--	200	added ('OK')	text/css	etag:%221fd90-5afc74b2fbd3d%22	http://innovationplans.com/idesign/avo2/avo-dark/css/style.css	innovationplans.com/idesign/avo2/avo-dark/css/style.css	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:17	14563/14563	---M--	200	added ('OK')	text/html	etag:%2238e3-5af8b3f26c009%22	http://innovationplans.com/idesign/avo2/avo-dark/project-details.html	innovationplans.com/idesign/avo2/avo-dark/project-details.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:18	27493/27493	---M--	200	added ('OK')	image/jpeg	etag:%226b65-5af8b4d7c9ca0%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/1.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/1.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:23	12038/12038	---M--	200	added ('OK')	text/html	etag:%222f06-5af8b3f58b4e4%22	http://innovationplans.com/idesign/avo2/avo-dark/works3.html	innovationplans.com/idesign/avo2/avo-dark/works3.html	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:29	72107/72107	---M--	200	added ('OK')	image/jpeg	etag:%22119ab-5af8b4d7ec35d%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/2.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:37	68613/68613	---M--	200	added ('OK')	image/jpeg	etag:%2210c05-5af8b4d8e4c17%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/3.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/3.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:37	84457/84457	---M--	200	added ('OK')	image/jpeg	etag:%22149e9-5af8b4da28f83%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/5.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/5.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:47	40334/40334	---M--	200	added ('OK')	image/jpeg	etag:%229d8e-5af8b4da53725%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/6.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/6.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:55:57	52832/52832	---M--	200	added ('OK')	image/jpeg	etag:%22ce60-5af8b44fa40ea%22	http://innovationplans.com/idesign/avo2/avo-dark/img/clients/2.jpg	innovationplans.com/idesign/avo2/avo-dark/img/clients/2.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:56:07	122723/122723	---M--	200	added ('OK')	image/jpeg	etag:%221df63-5af8b4d94feb4%22	http://innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/4.jpg	innovationplans.com/idesign/avo2/avo-dark/img/portfolio/mas1/4.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
12:56:07	195538/195538	---M--	200	added ('OK')	image/jpeg	etag:%222fbd2-5af8b46e0a3a1%22	http://innovationplans.com/idesign/avo2/avo-dark/img/slid/freelancer.jpg	innovationplans.com/idesign/avo2/avo-dark/img/slid/freelancer.jpg	(from http://innovationplans.com/idesign/avo2/avo-dark/index5.html)
